Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Solomon Islands,Pacific Islands,9.1,13.14,9.2,11.71,143.38,61.29,Measured,67,Genital size measure survey 2015,1.443956044,1.272826087,2.339370207
South Africa,Africa,9.7,15.29,9,11.13,150.73,62.52,Self reported,290,The South African Department of Health (Facts and Statistics),1.57628866,1.236666667,2.410908509
Spain,Europe,9.2,13.58,9.7,12.19,160.58,68.88,Self reported,1282,Dr. Pilar Cristobal: Universida de Navarra. 2003.,1.476086957,1.256701031,2.331300813
Sri Lanka,South Asia,7.4,10.18,8.8,10.99,97.84,45.6,Measured,641,Dr. Neville D Perera - General Hospital of Colombo- 2015,1.375675676,1.248863636,2.145614035
Sudan,Africa,11.4,17.95,10.6,13.08,244.38,101.93,Self reported,250,https://www.surveymonkey.com - 2015,1.574561404,1.233962264,2.397527715
Suriname,South America,8.4,13.34,10,12.86,175.56,66.85,Self reported,600,The PAHO/WHO Representative Paramaribo. 2004,1.588095238,1.286,2.62617801
Sweden,Europe,9.8,15.36,10.2,12.78,199.64,81.14,Self reported,1.00E+03,Krause. Jan Vinzenz. 2008 Institut fur Kondom Beratung + Statistika Centralbyran. Sweden. 2015,1.567346939,1.252941176,2.460438748
Switzerland,Europe,9.7,14.25,10.2,12.83,186.66,80.31,Self reported,200,https://www.surveymonkey.com - 2015,1.469072165,1.257843137,2.324243556
Taiwan,Asia,8.5,12.5,10.1,12.61,158.17,69,Self reported,300,Chuang et all (2003),1.470588235,1.248514851,2.292318841
Tanzania,Africa,8.4,11.5,9.3,11.49,120.82,57.81,Measured,253,Chrouser et al. (2013) Penile Measurements in Tanzanian Males: Guiding Circumcision Device Design and Supply Forecasting,1.369047619,1.235483871,2.089949836
Thailand,Southeast Asia,6.9,9.43,8.4,10.83,88.02,38.74,Measured,1800,Faculty of Medicine. Siriraj Hospital. Mahidol University. Bangkok. 2013,1.366666667,1.289285714,2.272070212
Tonga,Pacific Islands,9,12.94,8.9,11.31,131.72,56.73,Measured,65,Genital size measure survey 2015,1.437777778,1.270786517,2.321875551
